gene	Chromosome	Start	End	Strand	ecto	endo	meso	set
Gja1	10	56377300	56390419	+	9.505377	8.630146	9.741028	DifM
Nxph4	10	127525473	127534559	-	0.5175566	-3.4732013	1.8493159	DifM
Odz2	11	36006656	37235964	-	-0.5465739	-4.932633	0.9794497	DifM
Hand1	11	57828705	57832818	-	2.8752785	-0.5403156	5.612141	DifM
Gp1ba	11	70639122	70642036	+	-3.0060053	-6.932633	0.2450742	DifM
Cbx2	11	119022962	119031270	+	5.8653865	5.031708	6.1893754	DifM
Mycn	12	12936096	12941914	-	7.465444	5.183711	7.605857	DifM
Egln3	12	54178981	54203860	-	4.3905993	3.4661105	5.266546	DifM
Cap2	13	46501848	46649642	+	2.534876	0.5830667	4.7980103	DifM
Sfxn1	13	54071845	54108346	+	8.074516	7.5564623	8.422404	DifM
F2r	13	95601804	95618459	-	5.7352743	5.093199	6.623267	DifM
Gdf10	14	33923587	33935280	+	-1.8905281	-5.3476706	0.82787865	DifM
Apex1	14	50924968	50927139	+	8.949362	8.141341	8.941956	DifM
Sacs	14	61138457	61240695	+	3.6514122	1.828918	4.5259905	DifM
Dpysl2	14	66802864	66868688	-	8.013315	6.3840723	7.9894857	DifM
Pdlim2	14	70164218	70177681	-	3.6905756	1.8322384	6.3113565	DifM
Gspt1	16	11219292	11254270	-	7.731242	6.9708724	7.7826147	DifM
Snai2	16	14705852	14709395	+	-1.1759304	-7.084636	0.34805623	DifM
Galnt14	17	73493228	73710453	-	1.9481909	-1.1252782	4.729721	DifM
Colec12	18	9707648	9877995	+	5.676404	5.2167964	6.409598	DifM
Cdc23	18	34630951	34651735	-	8.115204	7.644264	8.38272	DifM
Pmaip1	18	66458604	66465550	+	6.4393544	5.631278	7.330133	DifM
Tubb6	18	67390717	67402748	+	6.624767	5.268878	6.811043	DifM
Fads2	19	10064164	10101503	-	5.1369524	4.2633543	6.0088	DifM
Dock11	X	35888832	36076562	+	6.694916	5.9386945	7.5859222	DifM
Cdx4	X	103321398	103330592	+	-0.700197	-7.084636	2.1797304	DifM
Rps6ka6	X	111388192	111537959	-	7.652553	6.928648	7.9108086	DifM
Pcdh11x	X	120290259	120910619	+	-0.34304047	-4.3476706	1.2156638	DifM
