gene	Chromosome	Start	End	Strand	ecto	endo	meso	set
Kif5c	2	49619298	49774778	+	5.7303967	4.808834	4.144614	DifEc
Rif1	2	52072837	52122383	+	8.345609	7.9309726	7.5141063	DifEc
Gca	2	62664285	62694109	+	3.832498	2.805459	0.7615869	DifEc
Gm13629	2	66440880	66546026	+	0.12785031	-7.084636	-6.5558257	DifEc
Xirp2	2	67446002	67526614	+	-0.87214965	-5.932633	-8.7078285	DifEc
Gm13647	2	71737815	71745397	+	-2.221734	-7.084636	-8.7078285	DifEc
Itga6	2	71745616	71858416	+	5.6142144	4.0460773	2.7266836	DifEc
Pdk1	2	71873224	71903858	+	6.0447497	4.7116737	4.2023973	DifEc
Olfr988	2	85352925	85363058	-	-5.5909677	-7.084636	-8.7078285	DifEc
Olfr1065	2	86445013	86446004	-	-4.854002	-7.084636	-8.7078285	DifEc
Olfr1213	2	88972954	88980257	-	-5.5909677	-7.084636	-8.7078285	DifEc
Tcp11l1	2	104657288	104712169	-	4.7177505	3.4402318	3.2639542	DifEc
Scg5	2	113776362	113829121	-	1.291675	-2.1777456	-7.5558257	DifEc
Gjd2	2	114009601	114013619	-	-1.503505	-7.084636	-8.7078285	DifEc
Pak6	2	118663303	118698020	+	1.7067126	-2.932633	-3.4265428	DifEc
Gm14244	2	127691899	127700488	+	-5.1759305	-7.084636	-8.7078285	DifEc
Acoxl	2	127838876	128123873	+	-2.5320742	-6.932633	-8.7078285	DifEc
C630020P19Rik	2	143535476	143547837	-	3.6410532	0.41609514	-0.17644723	DifEc
Pcsk2	2	143546156	143816285	+	4.5327225	1.1062859	0.90155524	DifEc
Cst12	2	148789361	148793546	+	-5.1759305	-7.084636	-8.7078285	DifEc
Snph	2	151590549	151632593	-	3.5192978	-0.04999007	-0.3415065	DifEc
5430405G05Rik	2	151702008	151712157	+	1.4715279000000001	-1.4732015	-1.8976141	DifEc
BC020535	2	153065955	153081735	+	-5.5909677	-7.084636	-8.7078285	DifEc
Dnmt3b	2	153649450	153687730	+	11.4142475	8.899762	8.564949	DifEc
Fer1l4	2	156019139	156052947	-	-1.0674059	-3.762708	-8.555826	DifEc
Samhd1	2	157097533	157135265	-	6.6453457	5.9524913	5.4474287	DifEc
R3hdml	2	163492318	163502612	+	0.25033426	-2.1252782	-3.7484708	DifEc
Rims4	2	163859751	163918683	-	2.2120867	-0.9326331	-1.0401258	DifEc
Wfdc2	2	164562413	164568510	+	7.2699895	5.5453777	4.0803456	DifEc
Ocstamp	2	165393760	165400405	-	-1.2690399	-3.610705	-8.7078285	DifEc
Zmynd8	2	165784152	165899016	-	7.8069296	6.7295904	6.7269006	DifEc
Gm14290	2	167098794	167101826	-	0.35545096	-3.932633	-3.9119694	DifEc
Kcnb1	2	167103378	167190155	-	1.1549865	-1.5403156	-3.3463724	DifEc
Phactr3	2	178118975	178338492	+	2.3958223	-1.0018957	-1.1549461	DifEc
Hrh3	2	180099465	180104488	-	1.7577602	-4.3476706	-3.5558255	DifEc
Kcnq2	2	181075579	181135291	-	1.9247319	-1.1777456	-1.3078982	DifEc
Stmn2	3	8509527	8561604	+	6.6003995	5.3458166	4.1472125	DifEc
Slc7a12	3	14480697	14505830	+	-5.5909677	-7.084636	-8.7078285	DifEc
Gm10258	3	30267825	30269947	-	-2.590968	-7.084636	-8.7078285	DifEc
Slc7a14	3	31202910	31310378	-	0.5789571	-0.9784367	-2.8279052	DifEc
4930429B21Rik	3	32365775	32367436	+	1.748882	-1.5750811	-1.7876413	DifEc
Gm20446	3	34298518	34322289	-	-3.2690396	-7.084636	-8.7078285	DifEc
Sox2	3	34650005	34652461	+	4.5485835	0.99217945	-0.38590062	DifEc
Gm11548	3	36499804	36506809	-	-1.0466474	-7.084636	-8.7078285	DifEc
C130079G13Rik	3	59925214	59937949	+	-5.5909677	-6.932633	-8.7078285	DifEc
Gpr149	3	62529077	62605140	-	-4.854002	-7.084636	-8.7078285	DifEc
AC119847.1	3	69131233	69157177	+	-5.1759305	-7.084636	-8.7078285	DifEc
Lrat	3	82892579	82903973	-	-1.3945707	-7.084636	-8.7078285	DifEc
Trim2	3	84160439	84305446	-	6.0863113	4.372288	3.8437195	DifEc
Gm6821	3	88381004	88382811	+	-5.1759305	-7.084636	-8.7078285	DifEc
Sema4a	3	88435959	88461182	-	2.9902327	0.99217945	0.116599694	DifEc
Syt11	3	88744700	88775164	-	6.9537554	3.3152945	3.3704703	DifEc
Kprp	3	92823074	92827247	-	-1.0060054	-7.084636	-8.7078285	DifEc
Flg	3	93273541	93282353	+	-5.1759305	-7.084636	-8.7078285	DifEc
Hist2h2be	3	96221121	96223738	+	2.6005025	0.52679855	0.073530994	DifEc
Ankrd35	3	96670131	96691009	+	1.6314245	-2.6107051	-2.2338977	DifEc
Hmgcs2	3	98280435	98310738	+	-0.026183276	-2.2321935	-4.5558257	DifEc
Phgdh	3	98313170	98339990	-	8.639803	7.817865	7.680805	DifEc
Gclm	3	122245557	122269984	+	7.204598	6.4268417	5.8977017	DifEc
Ugt8a	3	125865359	125938550	-	3.841574	1.1548297	0.3298708	DifEc
Pla2g12a	3	129878622	129895821	+	5.3535	4.58602	3.7185524	DifEc
Bmpr1b	3	141837136	142169425	-	3.3338444	-0.16444878	-0.02444421	DifEc
Gm16233	3	144947561	144954878	+	2.621731	0.55922	0.17549336	DifEc
Clca6	3	144952480	144975045	-	2.150499	0.65232944	-1.5334579	DifEc
Sdr16c6	4	4055929	4077522	-	-1.2451931	-7.084636	-8.7078285	DifEc
Pou3f2	4	22482095	22488366	-	0.27528068	-0.8451703	-3.1982737	DifEc
Fut9	4	25609332	25800244	-	4.4406185	3.5237212	1.2418358	DifEc
Tdrd7	4	45965334	46034761	+	2.7384548	1.2221849	-0.41116735	DifEc
Gm12446	4	46300007	46345515	-	-0.59096795	-5.932633	-8.7078285	DifEc
E130309F12Rik	4	49059273	49340259	+	1.7339627	-1.610705	-2.1807864	DifEc
Tal2	4	53779705	53788712	+	3.4552467	1.5672129	-2.6978445	DifEc
Zfp462	4	54945048	55083563	+	6.309899	4.5425935	4.292015	DifEc
Mup6	4	59964294	60007274	+	1.8042091	-0.19116609	-3.3463724	DifEc
Gm12909	4	62088288	62090524	+	-5.1759305	-7.084636	-8.7078285	DifEc
Gm11234	4	71980477	71999559	+	-5.1759305	-7.084636	-8.7078285	DifEc
Kdm4c	4	74242497	74405860	+	4.9760375	3.842977	3.5186505	DifEc
D4Bwg0951e	4	80910646	80955628	+	2.8352966	1.9191159	0.18900816	DifEc
Psip1	4	83455680	83486459	-	8.950512	8.418375	7.8464203	DifEc
Sh3gl2	4	85205126	85639195	+	3.343706	1.0503604	-0.20267886	DifEc
Acer2	4	86874396	86934822	+	6.96082	6.7572556	6.274937	DifEc
L1td1	4	98726734	98738480	+	7.0395265	4.4331427	4.213599	DifEc
Gm12789	4	101986626	101990053	+	-5.5909677	-7.084636	-8.7078285	DifEc
Skint5	4	113477891	113999503	-	-3.3685756	-4.932633	-8.7078285	DifEc
Edn2	4	120161206	120167360	+	-1.7496656	-5.932633	-8.7078285	DifEc
Mfsd2a	4	122946850	122961188	-	2.4033854	1.3982838	-0.8693251	DifEc
Pou3f1	4	124657646	124660655	+	4.2664948	0.45107123	0.6705865	DifEc
Tmem54	4	129105548	129111626	+	3.66642	1.7747262	0.9380298	DifEc
1700125D06Rik	4	129491190	129491956	+	-0.700197	-7.084636	-6.5558257	DifEc
Hdac1	4	129516104	129542713	-	8.572236	8.3144045	8.0867195	DifEc
Khdrbs1	4	129703164	129742303	-	9.064022	8.37567	8.455718	DifEc
Fabp3	4	130308595	130315463	+	4.226016	1.5987483	1.5811653	DifEc
Slc30a2	4	134343181	134354484	+	2.650618	1.0215633	-1.0800922	DifEc
Id3	4	136143497	136145755	+	9.148514	8.634046	8.699082	DifEc
Tas1r2	4	139653538	139670280	+	-4.3685756	-6.932633	-8.7078285	DifEc
Gm13201	4	148071392	148075420	-	-5.1759305	-7.084636	-8.7078285	DifEc
Fbxo44	4	148152800	148160482	-	5.316924	2.7850432	3.1135023	DifEc
Acot7	4	152178134	152271855	+	5.9402514	3.818074	3.3191557	DifEc
Trp73	4	154056253	154140208	-	3.1882043	-0.9553532	-0.82111603	DifEc
Gm13116	4	154093479	154098353	+	-2.590968	-7.084636	-8.7078285	DifEc
Adam22	5	8072352	8368160	-	4.1448703	3.3937967000000002	1.8418491	DifEc
Speer4d	5	15619064	15623864	+	-4.854002	-6.932633	-8.7078285	DifEc
Pion	5	21186267	21291701	+	2.0814574	0.26703924	-2.5114315	DifEc
Lrrc17	5	21543527	21575900	+	-5.5909677	-7.084636	-8.7078285	DifEc
Slc26a5	5	21810655	21865604	-	-0.44800994	-3.610705	-5.748471	DifEc
Klhl7	5	24100590	24161223	+	6.051986	4.542087	4.3758354	DifEc
4931409K22Rik	5	24543434	24555469	-	-5.5909677	-7.084636	-8.7078285	DifEc
Gm1979	5	25999022	26004798	-	-4.854002	-7.084636	-8.7078285	DifEc
Gm7347	5	26051883	26058581	-	-5.1759305	-7.084636	-8.7078285	DifEc
Gm7361	5	26257691	26264308	+	-5.1759305	-6.932633	-8.7078285	DifEc
Gm9924	5	31094984	31097294	+	-2.590968	-7.084636	-8.7078285	DifEc
Ucn	5	31138063	31138829	-	-2.1759305	-5.3476706	-8.7078285	DifEc
4930548H24Rik	5	31485859	31488476	+	0.15498649	-1.1512734	-3.855386	DifEc
Whsc1	5	33820725	33897975	+	7.3625007	6.871397	6.7176785	DifEc
Otop1	5	38275972	38304209	+	2.111782	-3.4732013	-3.0639725	DifEc
Prom1	5	43993625	44102032	-	7.244688	6.522437	5.364713	DifEc
Ldb2	5	44472133	44799707	-	5.699051	3.9144242	3.2226622	DifEc
Lgi2	5	52537864	52566303	-	2.139219	-0.5575937	-1.6489351	DifEc
Uchl1	5	66676098	66687231	+	5.7245593	4.5697017	2.552045	DifEc
Spink2	5	77205107	77211471	-	1.370964	-0.40907118	-2.8009381	DifEc
Prol1	5	88317312	88328817	+	-4.3685756	-5.932633	-8.7078285	DifEc
Npffr2	5	89527429	89583740	+	-0.90914387	-7.084636	-8.7078285	DifEc
Cxcl10	5	92346638	92348889	-	-0.5465739	-7.084636	-6.2338977	DifEc
Galnt9	5	110544345	110621382	+	2.6569595	-0.013769857	-0.69784456	DifEc
Asphd2	5	112385448	112392213	-	2.3805757	-0.17774564	-0.57854575	DifEc
Ksr2	5	117414000	117555942	+	-3.2690396	-7.084636	-8.7078285	DifEc
Fbxo21	5	117976770	118010191	+	6.854133	6.0184693	6.1454806	DifEc
Hrk	5	118169764	118189478	+	0.38631195	-4.3476706	-3.6016293	DifEc
Dtx1	5	120680202	120711927	-	4.916166	1.0897348	0.017821586	DifEc
Gm15637	5	122048382	122055654	+	-2.590968	-7.084636	-8.7078285	DifEc
Il31	5	123480153	123482101	-	-5.5909677	-7.084636	-8.555826	DifEc
Glt1d1	5	127632262	127708754	+	3.9221015	1.5267985	1.2288091	DifEc
A330070K13Rik	5	130378778	130384631	-	-1.8540022	-6.932633	-8.7078285	DifEc
Tmem130	5	144735915	144761649	-	2.747397	1.5511827	-1.0089313	DifEc
Gsx1	5	147188696	147190947	+	0.98394084	-2.762708	-8.555826	DifEc
Zar1l	5	150507055	150518164	-	-5.5909677	-7.084636	-8.7078285	DifEc
Dync1i1	6	5725639	6028039	+	0.003978659	-6.932633	-8.555826	DifEc
Dlx6as1	6	6820189	6869533	-	1.5245092	-5.932633	-4.748471	DifEc
Dlx5	6	6877805	6882085	-	2.754807	-1.2602078	-1.5445983	DifEc
Tac1	6	7555071	7562973	+	0.023741834	-1.3780442	-3.855386	DifEc
Gpr85	6	13834458	13839942	-	4.0890985	2.1253586	1.6065658	DifEc
Fezf1	6	23245047	23248264	-	-0.7836131	-7.084636	-8.7078285	DifEc
AB041803	6	31165523	31218433	-	-4.854002	-5.932633	-8.7078285	DifEc
Mkrn1	6	39397804	39420462	-	7.4539385	6.3429093	5.850512	DifEc
Olfr447	6	42911525	42912457	+	-4.854002	-7.084636	-8.7078285	DifEc
Hoxa9	6	52223100	52231089	-	-5.1759305	-7.084636	-8.7078285	DifEc
Vmn1r28	6	58265078	58266162	+	-3.4754908	-6.932633	-8.7078285	DifEc
Foxi3	6	70956531	70961066	+	4.6160464	-1.4732015	-0.9783967	DifEc
Capg	6	72544391	72562983	+	5.7896733	5.289256	4.4887395	DifEc
Vax2os1	6	83700157	83710932	-	-4.3685756	-7.084636	-8.7078285	DifEc
Emx1	6	85187438	85204462	+	-0.3055657	-7.084636	-8.7078285	DifEc
Fbxo41	6	85469574	85502994	-	1.5000267	-0.6472309	-3.0963938	DifEc
Nup210	6	91013068	91116829	-	5.324414	3.7695394	1.4789734	DifEc
Lmcd1	6	112273758	112330425	+	0.10947186	-2.3476706	-5.9708633	DifEc
D630042P16Rik	6	112359324	112388023	-	-0.21014611	-7.084636	-8.7078285	DifEc
Srgap3	6	112717971	112947266	-	3.89888	1.8322384	1.5116086	DifEc
Prrt3	6	113494095	113501818	-	3.3495905	-0.47320145	0.044087227	DifEc
Cxcl12	6	117168535	117181367	+	7.11747	1.9222353	1.5116086	DifEc
Lrtm2	6	119315133	119330766	-	1.8184229	-2.0746522	-2.0800922	DifEc
Phc1	6	122317731	122340561	-	7.7274804	6.538534	5.6023893	DifEc
Clec4n	6	123229843	123247021	+	-5.5909677	-7.084636	-8.7078285	DifEc
Tpi1	6	124810586	124814296	-	10.831414	10.052697	10.027705	DifEc
Acrbp	6	125049689	125063267	+	5.066946	4.4083295	3.1214535	DifEc
Clec12a	6	129342691	129365303	+	-0.8540023	-7.084636	-8.7078285	DifEc
Klra2	6	131219223	131247362	-	-4.854002	-7.084636	-8.7078285	DifEc
Atf7ip	6	136518851	136607377	+	7.371084	6.9785714	6.832696	DifEc
Ldhb	6	142490249	142507957	-	8.870725	8.287253	8.127046	DifEc
Gm15685	6	144481225	144501416	+	-0.8540023	-7.084636	-8.7078285	DifEc
Vmn1r55	7	5146218	5147501	-	-2.1759305	-7.084636	-8.7078285	DifEc
Nlrp2	7	5298554	5351035	-	-3.0884676	-4.932633	-8.7078285	DifEc
Vmn2r45	7	8470525	8489075	-	-5.5909677	-7.084636	-8.7078285	DifEc
Vmn1r82	7	12304805	12305719	+	-3.4754908	-4.932633	-8.7078285	DifEc
Ceacam15	7	16671331	16675705	-	0.15498649	-7.084636	-8.555826	DifEc
Slc1a5	7	16781346	16798274	+	6.1161036	5.3853445	5.032538	DifEc
Lypd3	7	24636570	24641116	+	-3.2690396	-7.084636	-8.7078285	DifEc
4930479M11Rik	7	30670722	30671591	-	-3.4754908	-7.084636	-8.7078285	DifEc
Mag	7	30899183	30914327	-	-0.026183276	-1.4732015	-5.233897	DifEc
Gm12776	7	34095431	34100837	+	-4.854002	-7.084636	-8.7078285	DifEc
Gpi1	7	34202122	34230289	-	9.302523	8.619105	8.655996	DifEc
Iglon5	7	43472907	43490075	-	0.5175566	-1.6472309	-5.096394	DifEc
Cpt1c	7	44959373	44974851	-	4.9581747	4.111078	3.294752	DifEc
Hrc	7	45335290	45338973	+	0.44612136	-0.6288523	-2.9411159	DifEc
Nav2	7	49246189	49610087	+	5.6994348	4.3003874	3.3932717	DifEc
Slc17a6	7	51621830	51671125	+	1.7429329	-1.6472309	-2.0639725	DifEc
Snrpn	7	59982495	60140219	-	9.80567	8.665157	8.779233	DifEc
Snurf	7	59995449	60005049	-	7.1779056	6.0853934	6.1377707	DifEc
Chrna7	7	63098692	63212526	-	2.7173712	1.3434912	-0.1211974	DifEc
Apba2	7	64501706	64753870	+	4.785881	1.9712487	1.3129969	DifEc
Gm9885	7	78578830	78581034	+	-0.04664738	-3.610705	-3.6489348	DifEc
Slc28a1	7	81114799	81170416	+	2.1772163	0.17589137	-2.1128821	DifEc
Cpeb1	7	81347026	81455465	-	1.66012	-3.2321935	-2.3859005	DifEc
Vmn2r67	7	85136240	85155902	-	-5.5909677	-7.084636	-8.7078285	DifEc
Vmn2r79	7	86996465	87037968	+	-4.854002	-7.084636	-8.7078285	DifEc
Dlg2	7	91090706	92447003	+	2.3535001	-0.6472309	-2.1635082	DifEc
Pak1	7	97842935	97912381	+	6.6917343	5.0259194	4.9964833	DifEc
Mtap6	7	99267447	99337137	+	3.4804945	2.4094415	0.41858897	DifEc
Olfml1	7	107567446	107591094	+	-2.590968	-7.084636	-8.7078285	DifEc
Olfr477	7	107990367	107991299	+	-4.854002	-7.084636	-8.7078285	DifEc
Olfr518	7	108880603	108881604	-	-5.1759305	-6.932633	-8.555826	DifEc
Tub	7	109010825	109034460	+	2.9207847	2.004005	-0.02444421	DifEc
Spon1	7	113765998	114043370	+	4.869488	3.5103104	1.7806809	DifEc
Zp2	7	120132361	120145290	-	-1.3430405	-7.084636	-8.7078285	DifEc
Coro1a	7	126699773	126707787	-	4.5897703	1.805459	1.9219326	DifEc
Fam57b	7	126816885	126830219	+	3.6851566	0.42491886	0.7318867	DifEc
Qprt	7	127107114	127122226	-	5.3318644	4.0524974	2.7173872	DifEc
Ppapdc1a	7	129257094	129391307	+	3.0648608	-0.40907118	-1.9559127	DifEc
Nkx1-2	7	132594877	132599637	-	6.826797	5.653972	4.2249193	DifEc
Gm16764	7	132597387	132599637	+	3.100194	1.7003622	0.36601532	DifEc
Foxi2	7	135410367	135413615	+	2.5655365	-2.5403156	-3.1982737	DifEc
Bnip3	7	138890836	138909519	-	8.0355015	7.2163196	7.072136	DifEc
Utf1	7	139943789	139945112	+	6.6909623	2.962185	-0.048031017	DifEc
Sprn	7	140150628	140154877	-	-1.2217342	-5.3476706	-8.555826	DifEc
Cox8b	7	140898943	140900446	-	-5.5909677	-7.084636	-8.7078285	DifEc
Cend1	7	141426446	141429491	-	3.8408778	0.6967235	0.42431393	DifEc
Tspan4	7	141475240	141493427	+	5.9400887000000004	5.1584716	4.8672905	DifEc
BC068157	8	4209543	4217459	-	3.1750088	1.8907341	0.25152922	DifEc
Gm5607	8	12385771	12436729	+	-0.6840774	-7.084636	-5.9708633	DifEc
Sox1	8	12395295	12400126	+	0.33186427	-6.932633	-6.9708633	DifEc
Fam70b	8	13435459	13461452	+	1.2206743	-1.6472309	-5.748471	DifEc
C030037F17Rik	8	14745329	14747427	-	-4.854002	-7.084636	-8.7078285	DifEc
Gm15056	8	20900606	20902444	-	-5.5909677	-7.084636	-8.7078285	DifEc
Thsd1	8	22227313	22261334	+	1.3437058	-0.66584647	-1.7744659	DifEc
Bag4	8	25764538	25785209	-	6.851457	6.536118	6.0073705	DifEc
5930422O12Rik	8	33428709	33429548	+	-5.1759305	-7.084636	-8.7078285	DifEc
Cldn24	8	47822143	47822805	+	-5.1759305	-7.084636	-8.7078285	DifEc
Galntl6	8	58427494	58911627	-	-1.1535627	-4.932633	-7.5558257	DifEc
Cpe	8	64592558	64693040	-	5.852494	4.3562326	4.4235992	DifEc
1700125H03Rik	8	68368434	68375710	+	-2.590968	-7.084636	-8.7078285	DifEc
Ncan	8	70093085	70120873	-	3.525376	0.36198765	0.41571793	DifEc
Tmem59l	8	70483876	70487358	-	4.8653865	3.5612223	3.125413	DifEc
Cyp4f18	8	71988482	72009626	-	-5.5909677	-7.084636	-8.555826	DifEc
Tmem184c	8	77595982	77610698	-	6.4346333	6.017923	5.4788876	DifEc
Pou4f2	8	78433009	78436645	-	-0.59096795	-7.084636	-8.7078285	DifEc
Clgn	8	83389867	83428552	+	2.6913483	0.4072169	0.040364143	DifEc
Syce2	8	84872111	84888221	+	6.9640207	5.71235	5.8359547	DifEc
Irx3	8	91798511	91802067	-	5.039906	3.1614447	3.3029323	DifEc
Mt3	8	94152607	94154148	+	0.24192207	-1.5063684	-3.6978447	DifEc
Atp2c2	8	119700009	119757718	+	-0.6213416	-5.3476706	-6.9708633	DifEc
Irf8	8	120736358	120756694	+	0.24192207	-1.5063684	-4.233897	DifEc
Jph3	8	121729623	121794276	+	4.1777678	2.3057716	2.121013	DifEc
Snai3	8	122454206	122460692	-	-3.3685756	-6.932633	-8.7078285	DifEc
Tubb3	8	123411424	123422015	+	5.2166553	3.1811092	3.2723107	DifEc
Mmp10	9	7502352	7510238	+	-5.1759305	-7.084636	-8.7078285	DifEc
Mmp8	9	7558429	7568486	+	-1.3945707	-3.762708	-8.7078285	DifEc
Piwil4	9	14696230	14740733	-	-4.854002	-7.084636	-8.7078285	DifEc
Olfr860	9	19845623	19849747	-	-2.221734	-7.084636	-8.7078285	DifEc
Olfr872	9	20237162	20260913	+	-5.5909677	-7.084636	-8.7078285	DifEc
Icam5	9	21032038	21039036	+	-0.5465739	-5.932633	-8.7078285	DifEc
Elavl3	9	22015005	22052023	-	4.8722157	-0.8665439	-0.06798562	DifEc
Gm15600	9	24296139	24300257	-	-2.8540022	-4.932633	-8.7078285	DifEc
Olfr891	9	38179871	38180821	-	-5.1759305	-7.084636	-8.7078285	DifEc
Olfr250	9	38367548	38368543	+	-5.5909677	-6.932633	-8.7078285	DifEc
Olfr984	9	40100544	40101488	-	-1.0466474	-7.084636	-8.7078285	DifEc
Olfr985	9	40126924	40128039	-	-1.783613	-5.932633	-8.7078285	DifEc
Thy1	9	44043384	44048579	+	2.8807073	-0.6472309	-0.66708237	DifEc
Upk2	9	44452716	44454767	-	-5.5909677	-7.084636	-8.7078285	DifEc
Fxyd6	9	45370185	45396158	+	6.281579	5.9640775	5.221635	DifEc
Usp28	9	48985385	49042517	+	6.1212726	4.6728463	4.8824463	DifEc
Slc35f2	9	53771535	53818161	+	6.4174604	4.0517855	3.41464	DifEc
Acsbg1	9	54604877	54661870	-	3.442455	1.3982838	0.5862815	DifEc
Tmem202	9	59518686	59525501	-	-5.5909677	-7.084636	-8.7078285	DifEc
Nr2e3	9	59942771	59960659	-	-4.854002	-7.084636	-8.7078285	DifEc
Rbpms2	9	65629648	65660528	+	7.7979465	6.561222	6.6899495	DifEc
Foxb1	9	69757710	69760940	-	5.173351	4.1765447	2.3397496	DifEc
Cgnl1	9	71626509	71771602	-	5.3920255	4.761725	4.259958	DifEc
Gm20649	9	74848463	74891475	+	-0.63677156	-7.084636	-8.555826	DifEc
Onecut1	9	74861921	74891475	+	-0.96647704	-7.084636	-8.555826	DifEc
Scg3	9	75643264	75683996	-	0.7005865	-2.6107051	-5.9708633	DifEc
Gsta4	9	78191966	78209348	+	7.290146	6.743875	5.8073506	DifEc
AC116421.1	9	84423958	84424826	+	2.5088181	-0.40907118	-0.03618941	DifEc
Tbx18	9	87702800	87731260	-	-1.8540022	-4.610705	-8.7078285	DifEc
1700057G04Rik	9	92309377	92357876	+	-2.3179495	-5.3476706	-8.7078285	DifEc
Sox14	9	99874116	99876170	-	0.10947186	-3.610705	-4.748471	DifEc
1700080E11Rik	9	105143344	105145082	-	-5.1759305	-7.084636	-8.7078285	DifEc
Col6a4	9	105989454	106096783	-	-2.1759305	-7.084636	-8.7078285	DifEc
Iqcf4	9	106568321	106570967	-	-5.5909677	-7.084636	-8.7078285	DifEc
Gnat1	9	107674477	107679592	-	-3.3685756	-7.084636	-8.7078285	DifEc
Camkv	9	107935920	107949691	+	5.613603	3.7246854	2.168688	DifEc
Mst1	9	108080436	108085027	+	-1.3945707	-6.932633	-8.7078285	DifEc
1700102P08Rik	9	108392834	108397763	+	1.5689033	-0.15127335	-1.2338976	DifEc
P4htm	9	108578826	108597600	-	2.0719972	0.14418256	-1.5671409	DifEc
Prss50	9	110857967	110864628	+	3.156106	2.1940715	0.75251335	DifEc
Gm10608	9	119159161	119161669	+	-0.63677156	-5.932633	-8.7078285	DifEc
Ccr8	9	120092133	120094906	+	-3.4754908	-7.084636	-8.7078285	DifEc
4930593C16Rik	9	120924455	120930802	-	-4.854002	-7.084636	-8.7078285	DifEc
Akap12	10	4266329	4359468	+	6.558885	4.3596888	4.6228395	DifEc
Olig3	10	19356560	19358606	+	-0.5760177	-7.084636	-8.7078285	DifEc
Slc35d3	10	19847917	19851459	-	3.3948739	0.16539897	-0.008931216	DifEc
Myb	10	21124930	21160984	-	4.1882043	1.4205137	-0.13376085	DifEc
Slc35f1	10	52690533	53111622	+	3.4221222	0.30577162	0.2770643	DifEc
Gm6494	10	58703995	58704279	+	-5.1759305	-7.084636	-8.7078285	DifEc
Neurog3	10	62133090	62134763	+	0.31592262	-7.084636	-8.7078285	DifEc
Tacr2	10	62252438	62265990	+	-2.590968	-4.3476706	-8.7078285	DifEc
Tet1	10	62804570	62899118	-	7.0291753	5.867862	6.062273	DifEc
Jmjd1c	10	67096125	67256326	+	6.461714	5.947333	5.5194025	DifEc
Tmem26	10	68723746	68782654	+	2.5587792	0.45968437	0.14461406	DifEc
Fam13c	10	70440668	70558731	+	4.2445564	2.9936628	2.2369647	DifEc
Gstt2	10	75831845	75834881	-	4.5391736	3.6756217	2.6560628	DifEc
Gm16220	10	75992691	75993992	-	-4.854002	-7.084636	-8.7078285	DifEc
Col18a1	10	77052178	77166548	-	7.2044625	6.005844	4.583406	DifEc
