gene	Chromosome	Start	End	Strand	ecto	endo	meso	set
Gm14137	2	119174509	119177575	+	-2.421043	2.4999087	-3.5114317	DifEn
Ppp1r14d	2	119218119	119229906	-	-2.0466473	1.6598238	-4.163508	DifEn
Mapkbp1	2	119972699	120027408	+	2.926045	5.01938	2.6813843	DifEn
Slc28a2	2	122426477	122461137	+	-7.327934	2.9906943	-0.41116735	DifEn
Gm14085	2	122484941	122528040	+	-7.327934	0.96823376	-5.9708633	DifEn
Sqrdl	2	122765237	122809569	+	-2.8540022	1.5390421	-1.0012368	DifEn
Galk2	2	125859109	125984299	+	4.926045	6.1446834	5.0424595	DifEn
Hdc	2	126593667	126619299	-	-1.44801	4.7237916	-3.6016293	DifEn
Nphp1	2	127740732	127788897	-	3.7963312	6.4489098	4.1701794	DifEn
Tgm3	2	130012349	130050399	+	-4.854002	4.034593	0.032889027	DifEn
Gm14232	2	131159537	131171342	+	-3.590968	3.772135	-1.7229358	DifEn
Spef1	2	131170261	131187282	-	-1.783613	5.907161	0.0844193	DifEn
Erv3	2	131853678	131859747	-	-7.327934	-0.5927831	-8.7078285	DifEn
Prnp	2	131909928	131938429	+	2.6442485	5.3742833	2.6228392	DifEn
Bmp2	2	133552159	133562885	+	-1.6840774	5.5970416	3.1139455	DifEn
Ankrd5	2	136501910	136562091	+	-0.46168494	4.360264	0.10595246	DifEn
Sel1l2	2	140229855	140389706	-	-7.327934	0.3527691	-8.7078285	DifEn
Flrt3	2	140650914	140671469	-	5.2477107	8.293817	5.7758613	DifEn
Banf2	2	144033059	144073979	+	-7.327934	-0.19116609	-8.7078285	DifEn
4930529M08Rik	2	145934784	146215039	+	-1.2451931	4.2919717	0.10951027	DifEn
Plk1s1	2	146855864	146970097	+	4.216923	5.76303	4.591697	DifEn
9030622O22Rik	2	147944740	148040203	-	-6.1759305	4.6381717	-5.5558257	DifEn
Foxa2	2	148042877	148046969	-	0.10947186	7.65772	-0.57854575	DifEn
Cst3	2	148871722	148875692	-	6.911698	8.845855	7.656006	DifEn
Cst10	2	149405057	149410293	+	-7.327934	-4.932633	-8.7078285	DifEn
E130215H24Rik	2	150667494	150668935	+	-7.327934	0.9065707	-6.9708633	DifEn
6820408C15Rik	2	152415587	152444330	+	-0.7665395	3.9538255	-1.970863	DifEn
Defb36	2	152604327	152612729	+	-7.327934	-2.0257425	-8.7078285	DifEn
Bcl2l1	2	152780668	152831728	-	5.371446	6.8464704	5.9094214	DifEn
Mylk2	2	152911352	152923068	+	-7.327934	-0.39347425	-8.7078285	DifEn
Ttll9	2	152962485	153008482	+	0.9430106	4.8634067	0.9677363	DifEn
Gm14199	2	152990017	152991631	-	-4.1759305	1.0098814	-2.6016293	DifEn
Bpifb2	2	153875045	153895270	+	-7.327934	-1.9784368	-8.7078285	DifEn
Gm15557	2	155940728	155942750	+	-7.327934	-3.0257423	-8.7078285	DifEn
4933416E03Rik	2	159947341	159981288	+	-7.327934	-0.8665439	-8.7078285	DifEn
Hnf4a	2	163506808	163572910	+	-7.327934	3.1468518	-3.8009384	DifEn
Serinc3	2	163623272	163645131	-	5.297014	6.7142634	5.9628277	DifEn
Pkig	2	163658386	163726158	+	5.075552	6.54601	5.5094223	DifEn
Slc13a3	2	165405028	165473230	-	-7.327934	-0.66584647	-8.7078285	DifEn
Eya2	2	165595032	165771727	+	-1.1986505	3.2584262	-1.4897364	DifEn
Atp9a	2	168634438	168742409	-	3.3288887	5.8941135	2.092532	DifEn
Gm14259	2	170405181	170407175	+	-3.8540022	3.220919	-2.8834002	DifEn
Bmp7	2	172868012	172940321	-	1.7984841	6.817865	5.271815	DifEn
Spo11	2	172977700	172993576	+	-0.48942995	4.0309854	-2.2890391	DifEn
Ctcfl	2	173093609	173119525	-	-7.327934	-1.8033502	-8.7078285	DifEn
Ctsz	2	174427493	174439039	-	7.0430865	7.8459573	6.5604777	DifEn
Gm14616	2	174856289	174866531	+	-7.327934	-3.3476706	-8.7078285	DifEn
Gm14443	2	175166255	175175871	-	-3.0060053	1.9159899	-0.7614098	DifEn
Slc17a9	2	180725263	180742280	+	-0.7665395	2.6372225	-2.3660011	DifEn
Ptk6	2	181193721	181202789	-	-7.1759305	-4.125278	-8.7078285	DifEn
Pcmtd2	2	181837854	181857461	+	4.4796004	6.178176	5.4841213	DifEn
Hey1	3	8663362	8667039	-	2.0576892	4.4553843	2.6234615	DifEn
Car2	3	14886426	14900769	+	5.5657473	8.598444	6.3439565	DifEn
Trim55	3	19644460	19691599	+	-7.327934	-3.0257423	-8.7078285	DifEn
Agtr1b	3	20314473	20367177	-	-7.327934	1.8907341	-2.5334578	DifEn
Slc2a2	3	28697903	28728356	+	-2.6523685	2.6783917	-1.6610078	DifEn
Mecom	3	29951299	30548008	-	-1.5320742	3.0186515	0.7773297	DifEn
Lrrc34	3	30624267	30647869	-	-1.0261832	4.426018	0.41571793	DifEn
Gm15496	3	31285587	31316891	+	-7.327934	0.8289181	-8.7078285	DifEn
Ttc14	3	33799955	33814860	+	6.5286217	7.2888784	6.518232	DifEn
Ccdc39	3	33812362	33844310	-	3.6021466	7.193426	3.2806194	DifEn
Anxa5	3	36448925	36475843	-	2.289636	6.25611	4.9841814	DifEn
Gm11549	3	36515057	36521813	-	-7.327934	1.3057717	-4.3859005	DifEn
Cetn4	3	37307749	37312708	-	-2.4754908	3.0054762	0.10595246	DifEn
Intu	3	40531286	40704774	+	3.9339	5.8301644	3.893581	DifEn
Ccna1	3	55045469	55055055	-	-0.60607475	2.6257875	-2.5114315	DifEn
Gm9696	3	59952309	59973594	+	-7.327934	-3.932633	-8.7078285	DifEn
Arhgef26	3	62338344	62462221	+	4.832148	6.4935007	3.7677922	DifEn
Vmn2r2	3	64116432	64140543	-	-7.327934	0.6746972	-4.748471	DifEn
Mlf1	3	67374097	67400003	+	3.3767385	7.398914	3.3465495	DifEn
Iqcj	3	67892220	68056593	+	-7.327934	-3.0257423	-8.7078285	DifEn
Ift80	3	68892499	69004570	-	5.108026	6.433689	4.7940083	DifEn
Zbbx	3	75037907	75165034	-	-7.327934	4.787611	-5.748471	DifEn
Fgg	3	83007859	83015053	+	-2.3179495	3.2158434	-2.6978445	DifEn
Fga	3	83026153	83033615	+	-7.327934	2.5909288	-6.2338977	DifEn
Fgb	3	83042247	83049803	-	-7.327934	3.6672797	-2.7229357	DifEn
Tlr2	3	83836273	83841767	-	-7.327934	0.28653547	-8.555826	DifEn
Fcrls	3	87250758	87263738	-	-7.327934	-4.932633	-8.7078285	DifEn
1700094D03Rik	3	90062796	90068347	+	3.2711527	5.6616917	3.0088003	DifEn
Slc39a1	3	90248172	90253612	+	6.6263843	7.301436	6.2711205	DifEn
S100a5	3	90608523	90611780	+	-7.327934	-1.762708	-8.7078285	DifEn
S100a11	3	93520488	93526287	+	2.9584959	5.3466873	4.6534758	DifEn
Riiad1	3	94464985	94473591	-	0.9168267	6.447828	0.18900816	DifEn
Tuft1	3	94612757	94658872	-	0.86298853	5.124343	2.4085152	DifEn
Txnip	3	96557957	96561883	+	4.6863194	6.4317756	4.136572	DifEn
Notch2	3	98013538	98150367	+	5.7632813	7.172948	5.995642	DifEn
Hsd3b1	3	98852194	98859794	-	-7.327934	-1.932633	-8.7078285	DifEn
Vangl1	3	102156701	102204693	-	2.1794205	5.6123314	3.9450161	DifEn
Gm16160	3	102203956	102206266	+	-7.327934	0.7112231	-5.748471	DifEn
Dennd2c	3	103102604	103169769	+	1.3437058	4.0904284	1.0291369	DifEn
BC027582	3	103731680	103732553	-	-7.327934	-3.0257423	-8.7078285	DifEn
Hipk1	3	103739815	103791563	-	5.0240483	6.5550814	5.580364	DifEn
Lrig2	3	104453984	104511856	-	3.998371	5.4634366	4.3218417	DifEn
Slc16a1	3	104638668	104658462	+	7.446179	10.797611	7.9888973	DifEn
Mov10	3	104794836	104818563	-	3.3815331	5.463704	2.1575608	DifEn
1700027A23Rik	3	105996957	106014646	-	0.81842303	7.9674788	-0.19827369	DifEn
1700013F07Rik	3	108534150	108544723	+	-7.327934	3.3033812	-8.7078285	DifEn
Dpyd	3	118562129	119432918	+	-1.0884675	3.3117306	0.06988321	DifEn
Prss12	3	123446913	123506602	+	-1.3430405	5.294983	2.9239547	DifEn
Larp7	3	127536954	127553348	-	8.016517	9.232431	7.80485	DifEn
Enpep	3	129269175	129332720	-	-6.1759305	1.2670393	-3.8009384	DifEn
Cfi	3	129836739	129875328	+	-2.5320742	2.387039	-3.6016293	DifEn
Sgms2	3	131318985	131344940	-	-0.4077461	3.187605	-0.83472645	DifEn
Slc39a8	3	135825279	135888572	+	2.1816213	7.398773	4.5948734	DifEn
Mttp	3	138089855	138143388	-	1.386312	5.9237924	2.1532583	DifEn
Adh7	3	138217823	138233382	+	-7.327934	1.0785942	-8.7078285	DifEn
Sh3glb1	3	144688844	144720323	-	5.007705	6.340434	5.9556184	DifEn
Clca2	3	144796559	144819494	-	-7.327934	-4.932633	-8.7078285	DifEn
Cyr61	3	145646971	145649985	-	3.3535001	5.680696	3.6302886	DifEn
Wdr63	3	146040526	146108130	-	-6.1759305	4.195361	-4.096394	DifEn
Lpar3	3	146220961	146286214	+	-0.90914387	4.4396877	2.2434561	DifEn
Gipc2	3	152093533	152166230	-	-0.3055657	4.0966544	-2.4473011	DifEn
5730460C07Rik	3	153789305	153792087	-	-7.327934	-1.2602078	-8.7078285	DifEn
Lrriq3	3	155093434	155194278	+	-1.1759304	2.6746972	-1.7484708	DifEn
Penk	4	4133531	4138819	-	2.001489	4.4650416	1.9350253	DifEn
Sdcbp	4	6365650	6408423	+	6.868037	7.7982087	6.8875394	DifEn
Gm11815	4	10487956	10489362	-	-7.327934	-3.0257423	-8.7078285	DifEn
2610301B20Rik	4	10874498	10899425	+	4.4925117	6.3448	4.695509	DifEn
Tmem67	4	12039355	12090020	-	3.3139176	5.370577	3.1746442	DifEn
Ripk2	4	16122733	16163647	-	3.6569595	5.339997	3.821927	DifEn
Klhl32	4	24612554	24851124	-	1.1903919	5.5617223	1.8995016	DifEn
1700003M02Rik	4	34688559	34730206	-	-3.590968	6.8636093	-0.6549588	DifEn
Gm17094	4	39398045	39450249	-	-7.327934	-3.3476706	-8.7078285	DifEn
B4galt1	4	40804602	40854005	-	5.3231683	6.916283	6.111452	DifEn
1110017D15Rik	4	41505009	41517333	-	-2.5320742	5.71797	-2.3463721	DifEn
1700066J24Rik	4	41517437	41518929	+	-7.327934	-0.6288523	-8.555826	DifEn
Spag8	4	43651335	43653594	-	-2.221734	5.54386	-0.7040765	DifEn
Shb	4	45423278	45532470	-	1.2875938	4.142846	1.9259739	DifEn
Gm12408	4	45639936	45642304	+	-1.3685756	2.9742572	-1.5671409	DifEn
Gm829	4	45683589	45723338	+	-7.327934	-3.932633	-8.7078285	DifEn
E230008N13Rik	4	45890303	45950774	+	-5.1759305	4.3937964	-5.9708633	DifEn
Gm12434	4	47996456	47998261	+	-7.327934	-3.2321935	-8.7078285	DifEn
Acnat1	4	49447105	49473912	-	-7.327934	0.51031035	-5.233897	DifEn
Aldob	4	49535995	49549546	-	-7.327934	3.783329	-1.4897364	DifEn
Gm20459	4	57568179	57896982	+	2.1882043	6.5342083	5.192577	DifEn
Akap2	4	57717657	57896984	+	2.1727977	6.5343356	5.1617436	DifEn
Lpar1	4	58435255	58553898	-	4.639453	6.9580116	4.9009137	DifEn
AI481877	4	59043753	59138983	-	-4.5909677	1.3711476	-5.748471	DifEn
Ugcg	4	59189257	59222833	+	4.8955317	6.4173393	5.281901	DifEn
Slc31a2	4	62262562	62298411	+	0.7898539	4.862189	2.9633193	DifEn
Ambp	4	63143275	63154799	-	-7.327934	2.6746972	-2.5558255	DifEn
Kif12	4	63165634	63172131	-	-2.2690399	2.1706545	-5.096394	DifEn
Cer1	4	82881751	82885148	-	1.299803	10.240361	6.3362427	DifEn
Frem1	4	82897920	83052339	-	3.55199	5.421616	3.3465495	DifEn
Ifna7	4	88816225	88816800	+	-7.327934	-1.5063684	-8.7078285	DifEn
Ift74	4	94614491	94693229	+	5.937649	7.5960045	6.026787	DifEn
Jun	4	95049034	95052222	-	4.7514772	6.2502265	5.704653	DifEn
Gm12681	4	99146914	99161642	-	-7.327934	-3.932633	-8.7078285	DifEn
Tctex1d1	4	102986379	103005594	+	-0.36857554	6.3836484	3.1103985	DifEn
BB031773	4	103004106	103011965	-	-0.4077461	5.8690753	2.603415	DifEn
Wdr78	4	103038065	103114555	-	1.2034479	5.0803404	1.8641346	DifEn
Dab1	4	103619359	104744844	+	5.1042604	6.0852194	4.5673256	DifEn
Heatr8	4	106680417	106730925	-	-7.327934	-4.125278	-8.7078285	DifEn
Dmrtb1	4	107676290	107684230	-	-7.327934	1.5019952	-2.8009381	DifEn
1700047F07Rik	4	107689701	107758985	+	-7.327934	-0.5575937	-8.7078285	DifEn
Txndc12	4	108834601	108862127	+	5.4003177000000004	6.6733093	5.5516367	DifEn
Agbl4	4	110397661	111664324	+	-7.327934	1.1062859	-5.748471	DifEn
Spata6	4	111719984	111829184	+	4.077917	6.0666623	4.5415483	DifEn
Slc5a9	4	111875375	111902918	-	-7.327934	3.396042	-8.7078285	DifEn
Skint2	4	112557194	112647840	+	-7.327934	-4.932633	-8.7078285	DifEn
Pdzk1ip1	4	115088708	115093899	+	-1.4210428	3.4564605	-1.2984378	DifEn
Cyp4a14	4	115486200	115496142	-	-7.327934	-4.932633	-8.7078285	DifEn
Tspan1	4	116161869	116167601	-	-7.1759305	2.2596595	-6.9708633	DifEn
Wdr65	4	118554551	118620777	-	-0.8183785	3.668209	2.3954592	DifEn
Ccdc30	4	119322893	119415521	-	1.1683655	5.1280627	1.8246355	DifEn
Gm12860	4	120615840	120622682	+	-7.327934	-1.3780442	-8.7078285	DifEn
Gm12930	4	124957647	124987009	-	-7.327934	-1.44078	-8.7078285	DifEn
Dnali1	4	125055338	125065703	-	-1.8540022	4.375706	-1.98597	DifEn
Oscp1	4	126058565	126092195	+	2.739949	6.3455259999999996	3.2040625	DifEn
Col8a2	4	126286793	126314330	+	-7.327934	2.495727	-2.5785456	DifEn
Tekt2	4	126322121	126325688	-	0.24192207	6.9500103	-1.1721213	DifEn
Gm12945	4	126323599	126325237	+	-2.0060055	4.747287	-4.307898	DifEn
Tlr12	4	128615446	128618619	-	-7.327934	1.518578	-1.9119694	DifEn
Tinagl1	4	130164454	130175122	-	-2.590968	2.9936628	-1.4577936	DifEn
Fam76a	4	132899213	132922558	-	3.9253888	5.930779	4.2073865	DifEn
Nipal3	4	135445420	135495038	-	1.1549865	3.7695394	0.014030009	DifEn
4930555I21Rik	4	135494790	135537803	+	-7.327934	0.72557837	-6.5558257	DifEn
Grhl3	4	135541888	135573630	-	-2.221734	2.4936316	-0.32220596	DifEn
Tcea3	4	136247729	136274898	+	2.3098989	5.1807833	4.0634775	DifEn
Ubxn10	4	138709837	138737167	-	1.0576892	6.5972853	0.7661024	DifEn
Pla2g2c	4	138724792	138746132	+	-2.783613	1.6672798	0.036631424	DifEn
Pla2g2f	4	138750533	138757626	-	-7.327934	-1.44078	-8.7078285	DifEn
Pqlc2	4	139294029	139310708	-	3.207774	5.1525073	3.3499377	DifEn
Klhdc7a	4	139962173	139968026	-	-7.1759305	0.9802562	-4.307898	DifEn
Epha2	4	141301240	141329384	+	2.076735	6.604343	3.4875433	DifEn
Gm694	4	141432672	141436105	-	-7.327934	0.5431003	-8.7078285	DifEn
Fhad1	4	141890438	142015082	-	-7.327934	4.6560817	-2.2890391	DifEn
Gm13062	4	142180602	142184139	+	-7.327934	-3.932633	-8.7078285	DifEn
C87977	4	144206775	144213318	-	-7.327934	-3.932633	-8.7078285	DifEn
1700012P22Rik	4	144418189	144438772	-	-7.327934	1.6560814	-8.7078285	DifEn
Dhrs3	4	144892827	144928209	+	0.24192207	4.140839	-0.98597	DifEn
Gm13209	4	148584721	148586007	-	-7.327934	-4.932633	-8.7078285	DifEn
Gm572	4	148643317	148671572	+	-7.327934	0.4072169	-8.7078285	DifEn
